nominal;data;curs;cdx
1;01.12.2023;101,248;Швейцарский франк
1;30.11.2023;101,3849;Швейцарский франк
1;29.11.2023;100,6934;Швейцарский франк
1;28.11.2023;100,629;Швейцарский франк
1;25.11.2023;100,4335;Швейцарский франк
1;24.11.2023;99,8081;Швейцарский франк
1;23.11.2023;99,6888;Швейцарский франк
1;22.11.2023;99,3781;Швейцарский франк
1;21.11.2023;98,0776;Швейцарский франк
1;18.11.2023;98,9604;Швейцарский франк
1;17.11.2023;98,5995;Швейцарский франк
1;16.11.2023;99,374;Швейцарский франк
1;15.11.2023;101,838;Швейцарский франк
1;14.11.2023;101,8559;Швейцарский франк
1;11.11.2023;101,9419;Швейцарский франк
1;10.11.2023;101,0627;Швейцарский франк
1;09.11.2023;102,2256;Швейцарский франк
1;08.11.2023;102,331;Швейцарский франк
1;04.11.2023;103,4183;Швейцарский франк
1;03.11.2023;104,1039;Швейцарский франк
1;02.11.2023;104,6328;Швейцарский франк
1;01.11.2023;103,095;Швейцарский франк
1;31.10.2023;104,6034;Швейцарский франк
1;28.10.2023;103,644;Швейцарский франк
1;27.10.2023;104,0845;Швейцарский франк
1;26.10.2023;103,1912;Швейцарский франк
1;25.10.2023;103,603;Швейцарский франк
1;24.10.2023;106,1036;Швейцарский франк
1;21.10.2023;107,5895;Швейцарский франк
1;20.10.2023;108,1915;Швейцарский франк
1;19.10.2023;108,324;Швейцарский франк
1;18.10.2023;107,8385;Швейцарский франк
1;17.10.2023;107,7728;Швейцарский франк
1;14.10.2023;107,3323;Швейцарский франк
1;13.10.2023;107,76;Швейцарский франк
1;12.10.2023;110,7452;Швейцарский франк
1;11.10.2023;110,5352;Швейцарский франк
1;10.10.2023;111,2988;Швейцарский франк
1;07.10.2023;110,0669;Швейцарский франк
1;06.10.2023;108,5916;Швейцарский франк
1;05.10.2023;108,2568;Швейцарский франк
1;04.10.2023;107,8997;Швейцарский франк
1;03.10.2023;108,0282;Швейцарский франк
1;30.09.2023;107,0844;Швейцарский франк
1;29.09.2023;105,5744;Швейцарский франк
1;28.09.2023;105,2689;Швейцарский франк
1;27.09.2023;105,4776;Швейцарский франк
1;26.09.2023;105,6661;Швейцарский франк
1;23.09.2023;106,0065;Швейцарский франк
1;22.09.2023;105,9041;Швейцарский франк
1;21.09.2023;107,6755;Швейцарский франк
1;20.09.2023;107,3684;Швейцарский франк
1;19.09.2023;107,8291;Швейцарский франк
1;16.09.2023;107,9104;Швейцарский франк
1;15.09.2023;107,6348;Швейцарский франк
1;14.09.2023;107,4677;Швейцарский франк
1;13.09.2023;106,2175;Швейцарский франк
1;12.09.2023;108,2296;Швейцарский франк
1;09.09.2023;109,9159;Швейцарский франк
1;08.09.2023;110,0977;Швейцарский франк
1;07.09.2023;109,974;Швейцарский франк
1;06.09.2023;109,8652;Швейцарский франк
1;05.09.2023;109,2614;Швейцарский франк
1;02.09.2023;109,1313;Швейцарский франк
1;01.09.2023;109,3715;Швейцарский франк
1;31.08.2023;109,0714;Швейцарский франк
1;30.08.2023;108,1679;Швейцарский франк
1;29.08.2023;107,9752;Швейцарский франк
1;26.08.2023;106,9464;Швейцарский франк
1;25.08.2023;107,3467;Швейцарский франк
1;24.08.2023;107,2718;Швейцарский франк
1;23.08.2023;107,2331;Швейцарский франк
1;22.08.2023;106,9314;Швейцарский франк
1;19.08.2023;106,1055;Швейцарский франк
1;18.08.2023;106,5901;Швейцарский франк
1;17.08.2023;110,1418;Швейцарский франк
1;16.08.2023;111,2247;Швейцарский франк
1;15.08.2023;115,224;Швейцарский франк
1;12.08.2023;112,0313;Швейцарский франк
1;11.08.2023;111,4056;Швейцарский франк
1;10.08.2023;111,3396;Швейцарский франк
1;09.08.2023;109,9639;Швейцарский франк
1;08.08.2023;110,2738;Швейцарский франк
1;05.08.2023;108,0428;Швейцарский франк
1;04.08.2023;106,8952;Швейцарский франк
1;03.08.2023;105,862;Швейцарский франк
